order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
18171,2025-08-27T03:39:52,2025-08-27,215,67,Retail,CASH,,6.84,AUD
18172,2025-08-27T08:54:20,2025-08-27,967,61,Retail,CARD,COUPON939,14.28,AUD
18173,2025-08-27T02:56:05,2025-08-27,383,24,Retail,CARD,,4.00,AUD
18174,2025-08-27T01:15:58,2025-08-27,602,73,Retail,AFTERPAY,,13.80,AUD
18175,2025-08-27T14:11:15,2025-08-27,383,69,Retail,PAYPAL,,19.93,AUD
18176,2025-08-27T09:20:29,2025-08-27,771,100,Retail,AFTERPAY,,19.81,AUD
18177,2025-08-27T00:27:16,2025-08-27,183,2,Retail,CARD,,8.09,AUD
18178,2025-08-27T17:40:14,2025-08-27,579,41,Retail,AFTERPAY,,17.38,AUD
18179,2025-08-27T15:02:17,2025-08-27,929,82,Retail,PAYPAL,,6.56,AUD
18180,2025-08-27T09:00:56,2025-08-27,821,84,Retail,PAYPAL,COUPON943,5.69,AUD
18181,2025-08-27T06:48:25,2025-08-27,1115,89,Retail,PAYPAL,COUPON200,24.87,AUD
18182,2025-08-27T00:55:26,2025-08-27,1527,80,Retail,PAYPAL,,16.20,AUD
18183,2025-08-27T05:58:56,2025-08-27,506,32,Retail,CARD,,9.88,AUD
18184,2025-08-27T17:00:41,2025-08-27,1187,37,Retail,PAYPAL,,19.38,AUD
18185,2025-08-27T19:25:52,2025-08-27,1070,79,Retail,CARD,,18.81,AUD
18186,2025-08-27T19:10:30,2025-08-27,1160,38,Retail,AFTERPAY,,16.51,AUD
18187,2025-08-27T14:02:16,2025-08-27,180,21,Retail,PAYPAL,,11.43,AUD
18188,2025-08-27T18:25:32,2025-08-27,225,35,Retail,AFTERPAY,,18.96,AUD
18189,2025-08-27T00:19:39,2025-08-27,1524,14,Retail,CARD,COUPON138,8.47,AUD
18190,2025-08-27T14:51:25,2025-08-27,525,34,Retail,CASH,COUPON180,5.86,AUD
18191,2025-08-27T14:49:15,2025-08-27,721,16,Retail,AFTERPAY,,13.53,AUD
18192,2025-08-27T18:46:42,2025-08-27,476,65,Retail,CASH,,14.97,AUD
18193,2025-08-27T00:53:54,2025-08-27,1108,78,Retail,AFTERPAY,,9.90,AUD
18194,2025-08-27T21:44:21,2025-08-27,319,96,Retail,PAYPAL,,18.51,AUD
18195,2025-08-27T19:44:46,2025-08-27,804,34,Retail,PAYPAL,,11.39,AUD
18196,2025-08-27T13:28:41,2025-08-27,1347,17,Retail,CASH,,11.06,AUD
18197,2025-08-27T06:17:30,2025-08-27,1410,67,Retail,AFTERPAY,COUPON856,13.94,AUD
18198,2025-08-27T06:24:57,2025-08-27,473,64,Retail,CASH,,1.19,AUD
18199,2025-08-27T18:07:36,2025-08-27,931,11,Retail,CARD,,16.77,AUD
18200,2025-08-27T20:56:58,2025-08-27,1448,99,Retail,AFTERPAY,,14.83,AUD
18201,2025-08-27T10:10:00,2025-08-27,590,55,Retail,PAYPAL,,12.30,AUD
18202,2025-08-27T18:22:31,2025-08-27,249,2,Retail,CARD,,14.36,AUD
18203,2025-08-27T21:43:52,2025-08-27,1338,96,Retail,CARD,,21.65,AUD
18204,2025-08-27T15:37:56,2025-08-27,1038,64,Retail,CASH,,7.93,AUD
18205,2025-08-27T10:09:18,2025-08-27,963,84,Retail,CASH,,11.48,AUD
18206,2025-08-27T19:41:19,2025-08-27,162,21,Retail,PAYPAL,,13.54,AUD
18207,2025-08-27T05:08:10,2025-08-27,1201,31,Retail,PAYPAL,,15.69,AUD
18208,2025-08-27T16:52:19,2025-08-27,891,75,Retail,CARD,,8.82,AUD
18209,2025-08-27T01:41:13,2025-08-27,1084,100,Retail,AFTERPAY,,9.21,AUD
18210,2025-08-27T14:38:54,2025-08-27,1518,76,Retail,AFTERPAY,,6.83,AUD
18211,2025-08-27T21:12:21,2025-08-27,614,23,Retail,PAYPAL,,11.08,AUD
18212,2025-08-27T17:36:08,2025-08-27,577,67,Retail,AFTERPAY,,19.67,AUD
18213,2025-08-27T09:15:53,2025-08-27,138,36,Retail,PAYPAL,,6.15,AUD
18214,2025-08-27T01:47:20,2025-08-27,985,70,Retail,CASH,,11.23,AUD
18215,2025-08-27T08:40:42,2025-08-27,9999999999,7,Retail,PAYPAL,,12.33,AUD
18216,2025-08-27T07:19:40,2025-08-27,523,78,Retail,AFTERPAY,,8.86,AUD
18217,2025-08-27T12:06:27,2025-08-27,1207,59,Retail,CARD,COUPON690,15.29,AUD
18218,2025-08-27T16:36:05,2025-08-27,515,92,Retail,AFTERPAY,,0.28,AUD
18219,2025-08-27T23:31:17,2025-08-27,1266,24,Retail,CASH,COUPON371,15.77,AUD
18220,2025-08-27T02:05:24,2025-08-27,639,50,Retail,PAYPAL,COUPON188,13.18,AUD
18221,2025-08-27T19:15:49,2025-08-27,1422,31,Retail,PAYPAL,,2.64,AUD
18222,2025-08-27T03:44:46,2025-08-27,171,2,Retail,CASH,,15.18,AUD
18223,2025-08-27T09:38:38,2025-08-27,17,97,Retail,PAYPAL,,14.74,AUD
18224,2025-08-27T13:11:43,2025-08-27,1258,90,Retail,CASH,,12.96,AUD
18225,2025-08-27T16:48:47,2025-08-27,125,46,Retail,CASH,,9.38,AUD
18226,2025-08-27T13:56:30,2025-08-27,859,17,Retail,CARD,,16.16,AUD
18227,2025-08-27T17:49:51,2025-08-27,889,45,Retail,PAYPAL,,7.20,AUD
18228,2025-08-27T17:00:22,2025-08-27,85,53,Retail,PAYPAL,,8.26,AUD
18229,2025-08-27T22:50:11,2025-08-27,1144,28,Retail,PAYPAL,,16.07,AUD
18230,2025-08-27T23:33:01,2025-08-27,639,13,Retail,CASH,,12.07,AUD
18231,2025-08-27T18:05:57,2025-08-27,952,8,Retail,PAYPAL,,9.36,AUD
18232,2025-08-27T09:30:40,2025-08-27,363,22,Retail,CASH,COUPON626,9.61,AUD
18233,2025-08-27T07:10:45,2025-08-27,602,41,Retail,PAYPAL,COUPON231,14.70,AUD
18234,2025-08-27T21:25:17,2025-08-27,435,80,Retail,PAYPAL,,22.42,AUD
