order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
16355,1,48,5,13.6971,0.1010,0.0627
16355,2,274,4,15.5093,0.1090,0.0974
16356,1,237,3,7.0857,0.2057,0.0240
16356,2,268,2,7.0515,0.4048,0.0545
16356,3,153,4,6.9312,0.1147,0.1193
16356,4,474,3,8.4617,0.1857,0.0478
16357,1,288,5,5.1377,0.1163,0.0789
16357,2,111,3,6.8856,0.1033,0.0465
16357,3,450,5,11.4582,0.1062,0.1775
16357,4,41,5,22.9677,0.1301,0.1015
16357,5,466,2,11.7441,0.3055,0.1127
16358,1,225,4,4.2651,0.0477,0.1655
16358,2,66,2,7.7900,0.3232,0.0741
16358,3,81,4,7.0107,0.2201,0.0451
16358,4,399,3,12.5792,0.0397,0.0483
16358,5,168,2,13.7954,0.1556,0.0658
16359,1,127,5,7.7092,0.3606,0.0705
16359,2,46,2,5.4560,0.3590,0.0351
16359,3,2,3,12.9566,0.0514,0.2358
16360,1,340,5,3.6684,0.2089,0.0459
16360,2,374,3,9.1309,0.0728,0.1128
16360,3,315,4,10.8739,0.1612,0.0105
16360,4,144,3,13.9973,0.1357,0.0740
16360,5,203,4,11.1184,0.0644,0.0193
16361,1,449,2,6.5142,0.3004,0.0530
16361,2,294,5,6.1922,0.0461,0.1072
16361,3,319,5,11.8477,0.2255,0.1368
16362,1,8,5,9.2105,0.1580,0.1430
16362,2,279,2,7.1349,0.0762,0.1213
16362,3,30,1,9.8725,0.0549,0.0987
16362,4,445,5,10.0884,0.1066,0.0844
16362,5,156,2,6.3905,0.1758,0.0151
16363,1,10,5,4.8118,0.1365,0.0612
16363,2,13,4,6.4531,0.1023,0.0591
16364,1,301,2,10.6348,0.2379,0.0325
16364,2,29,3,4.4198,0.0821,0.0460
16364,3,411,3,6.7575,0.0236,0.0346
16364,4,86,3,9.1776,0.2684,0.1263
16364,5,308,4,7.7082,0.3290,0.0304
16365,1,335,5,4.9458,0.4002,0.1885
16365,2,173,1,7.3896,0.1701,0.0298
16366,1,54,5,12.1687,0.1314,0.0633
16366,2,142,2,8.1710,0.0974,0.0588
16366,3,295,5,13.6420,0.2180,0.0521
16367,1,46,4,7.5519,0.1795,0.0699
16367,2,252,1,6.4978,0.0699,0.0835
16368,1,390,2,3.4050,0.1025,0.1175
16368,2,154,3,17.8213,0.1217,0.0623
16368,3,486,5,4.0290,0.0637,0.1232
16368,4,157,4,7.3819,0.0315,0.1431
16369,1,306,5,7.3055,0.2415,0.0605
16369,2,160,5,5.3039,0.1278,0.2038
16369,3,56,2,10.7709,0.0956,0.0875
16369,4,434,3,2.8496,0.1435,0.0459
16370,1,230,3,6.0646,0.1301,0.0382
16370,2,100,4,8.0391,0.3095,0.0652
16370,3,24,3,9.5013,0.0620,0.1123
16370,4,323,4,12.7185,0.3429,0.1434
16370,5,100,4,11.1263,0.1110,0.1747
16371,1,446,1,8.1691,0.1325,0.1206
16371,2,406,4,8.6822,0.3995,0.0619
16372,1,323,3,20.0889,0.2368,0.0799
16372,2,415,1,6.1408,0.0281,0.0334
16372,3,478,5,7.7711,0.2353,0.0338
16373,1,345,4,13.7969,0.0930,0.0596
16373,2,165,5,10.2828,0.2860,0.1188
16373,3,160,5,5.7142,0.1679,0.0234
16374,1,384,1,11.4737,0.2139,0.0281
16374,2,162,5,12.8343,0.2837,0.1030
16374,3,104,1,4.0977,0.0794,0.1096
16374,4,212,2,12.7694,0.2919,0.1691
16375,1,233,3,3.5114,0.3257,0.0881
16375,2,23,2,10.4782,0.0595,0.0491
16376,1,188,2,2.8578,0.1062,0.0061
16376,2,397,3,7.1536,0.0066,0.0482
16376,3,48,1,10.0634,0.1123,0.0317
16376,4,304,4,17.7072,0.1720,0.0831
16377,1,32,1,28.9662,0.3069,0.0451
16377,2,218,3,3.8085,0.0573,0.0597
16377,3,228,3,8.3447,0.0869,0.1072
16377,4,454,5,2.3130,0.2187,0.1489
16378,1,126,5,6.8263,0.0606,0.0605
16378,2,316,1,7.0228,0.1930,0.0787
16378,3,412,5,13.5919,0.0930,0.0924
16378,4,24,4,14.4074,0.3139,0.1323
16379,1,102,2,5.4392,0.2771,0.1222
16379,2,129,1,10.9959,0.0845,0.0339
16380,1,144,3,8.6421,0.1688,0.1656
16380,2,31,5,3.4659,0.2108,0.1347
16380,3,121,4,14.6875,0.3035,0.0223
16380,4,142,3,14.6526,0.0372,0.2233
16381,1,441,5,4.5254,0.2205,0.0585
16381,2,9999999997,1,3.2328,0.1066,0.0036
16381,3,90,3,10.5467,0.4120,0.0850
16382,1,28,2,4.7492,0.0544,0.1359
