sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-08-01T03:33:00,41,SHELF-012,120.00,56.11,3638
2025-08-02T09:18:00,41,SHELF-035,27.69,43.96,3917
2025-08-03T04:31:00,41,SHELF-031,18.09,51.43,3715
2025-08-04T19:25:00,41,SHELF-046,23.64,49.05,3592
2025-08-05T13:47:00,41,SHELF-039,39.49,76.91,3677
2025-08-06T18:01:00,41,SHELF-044,19.13,66.38,3598
2025-08-07T20:17:00,41,SHELF-050,21.93,54.18,3567
2025-08-08T15:38:00,41,SHELF-016,23.47,68.08,3875
2025-08-09T07:06:00,41,SHELF-015,24.26,50.99,3785
2025-08-10T21:25:00,41,SHELF-041,24.93,51.39,3751
2025-08-11T20:53:00,41,SHELF-049,20.31,48.57,3598
2025-08-12T02:59:00,41,SHELF-016,10.05,68.10,3628
2025-08-13T12:57:00,41,SHELF-028,15.99,56.50,3723
2025-08-14T15:11:00,41,SHELF-031,21.76,55.60,3772
2025-08-15T01:38:00,41,SHELF-025,18.50,47.44,3862
2025-08-16T09:35:00,41,SHELF-048,27.09,46.88,3629
2025-08-17T13:10:00,41,SHELF-048,22.19,71.66,3669
2025-08-18T03:29:00,41,SHELF-011,28.71,53.16,3834
2025-08-19T10:09:00,41,SHELF-037,22.56,51.30,3776
2025-08-20T20:20:00,41,SHELF-026,18.65,70.49,3736
2025-08-21T07:37:00,41,SHELF-042,22.14,51.91,3634
2025-08-22T08:33:00,41,SHELF-013,23.53,46.82,3658
2025-08-23T03:56:00,41,SHELF-038,22.79,54.43,3796
2025-08-24T13:05:00,41,SHELF-021,28.55,31.31,3892
2025-08-25T00:24:00,41,SHELF-031,19.03,59.72,3802
2025-08-26T10:29:00,41,SHELF-008,28.01,50.22,3758
2025-08-27T15:19:00,41,SHELF-040,22.43,44.89,3617
2025-08-28T00:42:00,41,SHELF-030,22.17,69.38,3541
